subject,predicate,object
44,ifo:ctd_number,CTD 2.7.6.10
45,rdf:type,bibo:Document
45,rdfs:label,社内資料
45,dct:dateAccepted,2014-3-24
45,ifo:internal_reference_id,T26A006
45,ifo:ctd_number,CTD 2.7.6.11
46,rdf:type,bibo:Document
46,rdfs:label,社内資料
46,dct:dateAccepted,2014-3-24
46,ifo:internal_reference_id,T26A007
46,ifo:ctd_number,CTD 2.7.6.12
47,rdf:type,bibo:Document
47,rdfs:label,社内資料
47,dct:dateAccepted,2014-3-24
47,ifo:internal_reference_id,T26A008
47,ifo:ctd_number,CTD 2.7.6.13
48,rdf:type,bibo:Document
48,rdfs:label,社内資料
48,dct:dateAccepted,2014-3-24
48,ifo:internal_reference_id,T26A009
48,ifo:ctd_number,CTD 2.7.6.14
49,rdf:type,bibo:Document
49,rdfs:label,社内資料
49,dct:dateAccepted,2014-3-24
49,ifo:internal_reference_id,T26A010
49,ifo:ctd_number,CTD 2.7.6.15
50,rdf:type,bibo:Document
50,rdfs:label,社内資料
50,dct:dateAccepted,2014-3-24
50,ifo:internal_reference_id,T26A011
50,ifo:ctd_number,CTD 2.7.6.16
51,rdf:type,bibo:Document
51,rdfs:label,社内資料
51,dct:dateAccepted,2014-3-24
51,ifo:internal_reference_id,T26A014
51,ifo:ctd_number,CTD 2.6.4.3
52,rdf:type,bibo:Document
52,rdfs:label,社内資料
52,dct:dateAccepted,2014-3-24
52,ifo:internal_reference_id,T26A012
52,ifo:ctd_number,CTD 2.6.4.3
53,rdf:type,bibo:Document
53,rdfs:label,社内資料
53,dct:dateAccepted,2014-3-24
53,ifo:internal_reference_id,T26A015
53,ifo:ctd_number,CTD 2.6.4.4
54,rdf:type,bibo:Document
54,rdfs:label,社内資料
54,dct:dateAccepted,2014-3-24
54,ifo:internal_reference_id,T26A016
54,ifo:ctd_number,CTD 2.6.4.4
55,rdf:type,bibo:Document
55,rdfs:label,社内資料
55,dct:dateAccepted,2014-3-24
55,ifo:internal_reference_id,T26A017
55,ifo:ctd_number,CTD 2.6.4.6
56,rdf:type,bibo:Article
56,dct:references,26489961
56,ifo:internal_reference_id,
57,rdf:type,bibo:Document
57,rdfs:label,社内資料
57,dct:dateAccepted,2014-3-24
57,ifo:internal_reference_id,T26A013
57,ifo:ctd_number,CTD 2.6.4.4
58,rdf:type,bibo:Document
58,rdfs:label,社内資料
58,dct:dateAccepted,2014-3-24
58,ifo:internal_reference_id,T26A018
58,ifo:ctd_number,CTD 2.6.4.5
59,rdf:type,bibo:Article
59,dct:references,27347703
59,ifo:internal_reference_id,
60,rdf:type,bibo:Article
60,dct:references,27324291
60,ifo:internal_reference_id,
61,rdf:type,bibo:Document
61,rdfs:label,社内資料
61,dct:dateAccepted,2014-3-24
61,ifo:internal_reference_id,T26A019
61,ifo:ctd_number,CTD 2.6.4.7
62,rdf:type,bibo:Document
62,rdfs:label,社内資料
62,dct:dateAccepted,2014-3-24
62,ifo:internal_reference_id,T26A020
62,ifo:ctd_number,CTD 2.6.4.7
63,rdf:type,bibo:Article
63,dct:references,25975816
63,ifo:internal_reference_id,
64,rdf:type,bibo:Document
64,rdfs:label,社内資料
64,dct:dateAccepted,2014-3-24
64,ifo:internal_reference_id,T26A021
64,ifo:ctd_number,CTD 2.7.6.5
65,rdf:type,bibo:Document
65,rdfs:label,社内資料
65,dct:dateAccepted,2014-3-24
65,ifo:internal_reference_id,T26A022
65,ifo:ctd_number,CTD 2.7.2.2
66,rdf:type,bibo:Document
66,rdfs:label,社内資料
66,dct:dateAccepted,2014-3-24
66,ifo:internal_reference_id,T26A022
66,ifo:ctd_number,CTD 2.7.2.2
67,rdf:type,bibo:Document
67,rdfs:label,社内資料
67,dct:dateAccepted,2014-3-24
67,ifo:internal_reference_id,T26A023
67,ifo:ctd_number,CTD 2.7.2.3
68,rdf:type,bibo:Article
68,dct:references,29693800
68,ifo:internal_reference_id,
69,rdf:type,bibo:Article
69,dct:references,28783873
69,ifo:internal_reference_id,
70,rdf:type,bibo:Document
70,rdfs:label,社内資料
70,dct:dateAccepted,2014-3-24
70,ifo:internal_reference_id,T26A002
70,ifo:ctd_number,CTD 2.7.6.6
71,rdf:type,bibo:Document
71,rdfs:label,社内資料
71,dct:dateAccepted,2014-3-24
71,ifo:internal_reference_id,T26T005
71,ifo:ctd_number,CTD 2.6.6.6
72,rdf:type,bibo:Document
72,rdfs:label,社内資料
72,dct:dateAccepted,2014-3-24
72,ifo:internal_reference_id,T26T008
72,ifo:ctd_number,CTD 2.6.6.5
73,rdf:type,bibo:Document
73,rdfs:label,社内資料
73,dct:dateAccepted,2014-3-24
73,ifo:internal_reference_id,T26T001
73,ifo:ctd_number,CTD 2.6.2.4
74,rdf:type,bibo:Document
74,rdfs:label,社内資料
74,dct:dateAccepted,2014-3-24
74,ifo:internal_reference_id,T26P015
74,ifo:ctd_number,CTD 2.6.2.3
75,rdf:type,bibo:Document
75,rdfs:label,社内資料
75,dct:dateAccepted,2014-3-24
75,ifo:internal_reference_id,T26P016
75,ifo:ctd_number,CTD 2.6.2.3
76,rdf:type,bibo:Document
76,rdfs:label,社内資料
76,dct:dateAccepted,2014-3-24
76,ifo:internal_reference_id,T26P017
76,ifo:ctd_number,CTD 2.6.2.3
77,rdf:type,bibo:Document
77,rdfs:label,社内資料
77,dct:dateAccepted,2014-3-24
77,ifo:internal_reference_id,T26P018
77,ifo:ctd_number,CTD 2.6.2.2
78,rdf:type,bibo:Article
78,dct:references,23492941
78,ifo:internal_reference_id,
79,rdf:type,bibo:Document
79,rdfs:label,社内資料
79,dct:dateAccepted,2014-3-24
79,ifo:internal_reference_id,T26T002
79,ifo:ctd_number,CTD 2.6.6.2
80,rdf:type,bibo:Document
80,rdfs:label,社内資料
80,dct:dateAccepted,2014-3-24
80,ifo:internal_reference_id,T26T003
80,ifo:ctd_number,CTD 2.6.6.3
81,rdf:type,bibo:Document
81,rdfs:label,社内資料
81,dct:dateAccepted,2014-3-24
81,ifo:internal_reference_id,T26T007
81,ifo:ctd_number,CTD 2.6.6.4
82,rdf:type,bibo:Document
82,rdfs:label,社内資料
82,dct:dateAccepted,2014-3-24
82,ifo:internal_reference_id,T26T004
82,ifo:ctd_number,CTD 2.6.6.6
83,rdf:type,bibo:Document
83,rdfs:label,社内資料
83,dct:dateAccepted,2014-3-24
83,ifo:internal_reference_id,T26T006
83,ifo:ctd_number,CTD 2.6.6.6
